dataset	n_rows	n_columns
ds003424	29	14
ds004775	29	4
ds002727	29	3
ds004341	29	4
ds004226	29	3
ds002793	29	3
ds002712	29	4
ds005264	29	5
ds004597	28	3
ds005139	28	3
ds004011	28	7
ds006142	28	4
ds005088	28	11
ds004869	28	4
ds001229	28	3
ds002898	28	29
ds003519	28	6
ds004092	28	1
ds001740	28	3
ds000220	28	6
ds004106	28	4
ds004592	28	4
ds005299	28	25
ds007386	28	833
ds005056	28	5
ds004783	27	4
ds002322	27	5
ds005345	27	5
ds002835	27	2
ds000133	27	4
ds003670	27	16
ds002799	27	4
ds000102	27	3
ds004324	27	4
ds000213	27	3
ds004295	27	29
ds000203	27	22
ds002547	27	4
ds004616	27	3
ds000120	27	3
ds002776	27	4
ds000249	27	3
ds004389	27	20
ds005284	27	7
ds005397	27	5
ds003083	27	2
ds003017	26	4
ds005034	26	4
ds003753	26	4
ds005895	26	5
ds006211	26	3
ds007180	26	4
ds003569	26	9
ds004505	26	13
ds003487	26	4
ds005839	26	3
ds003136	26	3
ds002041	26	97
ds003516	26	6
ds003233	26	6
ds001378	26	5
ds003822	26	4
ds004347	25	5
ds004657	25	1
ds005565	25	12
ds006269	25	5
ds000009	25	90
ds003495	25	1
ds006104	25	4
ds005581	25	3
ds001981	25	7
ds002940	25	8
ds005468	25	3
ds001840	25	4
ds006267	25	5
ds005624	25	6
ds004350	25	2
ds001241	25	4
ds004141	25	4
ds004161	25	13
ds000256	25	4
ds001228	25	3
ds001517	25	3
ds003835	25	8
ds005980	25	3
ds006802	25	9
ds006746	25	3
ds003885	25	6
ds001454	25	4
ds006720	25	4
ds005467	25	3
ds003545	25	8
ds004644	25	3
ds004808	25	3
ds002105	25	5
ds001787	25	4
ds004010	25	5
ds002687	25	13
ds003887	25	7
ds006468	25	6
ds006212	24	4
ds005424	24	2
ds007305	24	3
ds005416	24	4
ds006519	24	6
ds002791	24	3
ds003458	24	3
ds004562	24	3
ds002338	24	4
ds004117	24	5
ds004482	24	3
ds004406	24	3
ds001927	24	3
ds003987	24	8
ds001554	24	2
ds004561	24	4
ds002842	24	11
ds001178	24	3
ds003420	24	3
ds005520	24	25
ds005496	24	1
ds003454	24	4
ds006557	24	4
ds002603	24	3
ds005882	24	3
ds005586	24	3
ds002011	23	3
ds005274	23	3
ds004937	23	3
ds004998	23	6
ds006253	23	6
ds002185	23	5
ds004944	23	7
ds003470	23	3
ds005884	23	7
ds004940	23	8
ds005523	23	4
ds002363	23	3
ds002797	23	3
ds004356	23	21
ds001338	23	4
ds005169	23	6
ds005360	23	4
ds001168	23	5
ds004332	23	4
ds002550	23	2
ds003684	23	5
ds003466	22	4
ds000101	22	3
ds005065	22	1
ds000219	22	5
ds001608	22	4
ds003507	22	3
ds005935	22	1
ds005087	22	9
ds004121	22	4
ds001232	22	3
ds004119	22	4
ds004152	22	6
ds005620	22	8
ds003483	22	1
ds002000	22	4
ds004262	22	6
ds002725	22	3
ds005648	22	7
ds006801	22	2
ds001415	22	9
ds005891	22	4
ds005642	22	5
ds003381	22	3
ds007231	22	2
ds004017	22	1
ds006012	22	3
ds006593	22	2
ds005025	22	7
ds002995	22	5
ds004264	22	6
ds005267	22	6
ds004660	22	1
ds001883	22	3
ds002814	22	4
ds002606	21	3
ds006265	21	6
ds005354	21	4
ds003505	21	3
ds001597	21	3
ds002250	21	3
ds000007	21	3
ds003340	21	4
ds005494	21	4
ds006266	21	6
ds002149	21	1
ds000253	21	6
ds004200	21	5
ds004158	21	5
ds007262	21	6
ds002833	21	3
ds004910	21	4
ds004513	21	9
ds006465	21	6
ds002094	21	1
ds006566	21	4
ds004312	21	4
ds003404	21	8
ds004460	21	5
ds004737	21	3
ds007169	21	6
ds007046	21	3
ds005688	21	4
ds004484	21	4
ds002691	21	39
ds006594	21	4
ds003498	21	10
ds003338	21	4
ds005185	21	3
ds003421	21	3
ds003343	21	5
ds001882	21	3
ds004973	21	3
ds004817	21	5
ds006572	21	4
ds003801	21	4
ds004712	21	4
ds001971	21	5
ds002158	21	3
ds004042	21	4
ds004841	21	1
ds001491	21	6
ds004276	20	4
ds002307	20	11
ds001785	20	3
ds003846	20	6
ds005779	20	3
ds005787	20	6
ds004348	20	2
ds000218	20	5
ds005811	20	6
ds003190	20	1
ds006629	20	5
ds003553	20	4
ds004743	20	3
ds005491	20	4
ds003342	20	1
ds001299	20	3
ds001722	20	3
ds002312	20	3
ds002773	20	4
ds004408	20	6
ds002982	20	7
ds000223	20	1
ds002722	20	3
ds002270	20	3
ds003039	20	4
ds006695	20	4
ds006949	20	1
ds007445	20	6
ds005635	19	5
ds001233	19	4
ds005605	19	3
ds004033	19	4
ds004381	19	9
ds004467	19	4
ds003464	19	8
ds003645	19	3
ds003352	19	4
ds001439	19	3
ds005557	19	4
ds000236	19	3
ds003574	19	9
ds004284	19	4
ds002720	19	3
ds002905	19	2
ds000110	19	3
