participant_id	subject number	species	strain	gender	genotype	name ses1	weight ses1	age ses1	name ses2	weight ses2	age ses2	name ses3	weight ses3	age ses3	name ses4	weight ses4	age ses4	name ses5	weight ses5	age ses5
sub-D708	Sub46	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	24.4	13.5714
sub-D709	Sub47	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.3	13.2857
sub-D710	Sub48	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	25.4	12.8571
sub-D711	Sub49	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	24.5	13.2857
sub-D712	Sub50	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.7	13.2857
sub-D713	Sub51	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.4	12.1429
sub-D714	Sub52	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	25.5	12.8571
sub-D715	Sub53	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	24.5	14.2857
sub-D716	Sub54	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	24.8	12.1429
sub-D717	Sub55	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	25.9	12.8571
sub-D718	Sub56	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.2	12.7143
sub-D719	Sub57	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.1	12.8571
sub-D720	Sub58	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	23.5	14.5714
sub-D721	Sub59	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	24.6	12.2857
sub-D722	Sub60	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.3	12.1429
sub-D724	Sub61	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	27.8	12.2857
sub-D725	Sub62	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	23.6	11.8571
sub-D726	Sub63	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	22.9	12.8571
sub-D727	Sub64	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	25.9	12.8571
sub-D728	Sub65	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	21.5	12.8571
sub-D729	Sub66	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	23.9	12.8571
sub-D730	Sub67	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	29.1	11.8571
sub-D731	Sub68	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	25.3	14
sub-D732	Sub69	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	24	13.4286
sub-D733	Sub70	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	25.5	14.5714
sub-D734	Sub71	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.3	12.8571
sub-D736	Sub72	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	27.7	12.7143
sub-D737	Sub73	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	22.6	13.7143
sub-D738	Sub74	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.8	12.5714
sub-D739	Sub75	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	25.7	12.7143
sub-D740	Sub76	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	25.2	14.1429
sub-D741	Sub77	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	25.3	12.8571
sub-D742	Sub78	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	24.6	12.5714
sub-D743	Sub79	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	19.1	14.2857
sub-D744	Sub80	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.9	13
sub-D745	Sub81	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.2	13.4286
sub-D746	Sub82	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.9	12.1429
sub-D747	Sub83	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.1	12.5714
sub-D749	Sub84	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.9	14.2857
sub-D750	Sub85	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26.6	12.7143
sub-D751	Sub86	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	27.1	12.2857
sub-D752	Sub87	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	26	14
sub-D753	Sub88	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	ME2	n/a	n/a	RT	n/a	n/a	3Mbase	25.6	12.2857
