participant_id	subject number	species	strain	gender	genotype	name ses1	weight ses1	age ses 1	name ses2	weight ses2	age ses 2	name ses3	weight ses3	age ses 3	name ses4	weight ses4	age ses 4
sub-D121	Sub117	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	21.7	14	6Mbase	n/a	n/a
sub-D122	Sub118	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	21	14	6Mbase	23.8	28
sub-D123	Sub119	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	21.7	14	6Mbase	27.2	28
sub-D124	Sub120	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	26.2	14	6Mbase	30.5	26
sub-D126	Sub121	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	26.4	14	6Mbase	28.2	26
sub-D127	Sub122	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	25.4	14	6Mbase	28.6	28
sub-D128	Sub123	mus musculus	C57BL/6J	Male	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	27.4	14	6Mbase	29.9	26
sub-D129	Sub124	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	29.1	26
sub-D130	Sub125	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	31.5	26
sub-D131	Sub126	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	29.2	14	6Mbase	32.5	25
sub-D132	Sub127	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	29.5	26
sub-D133	Sub128	mus musculus	C57BL/6J	Male	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	25.8	14	6Mbase	29.4	28
sub-D134	Sub129	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	20.3	14	6Mbase	21.8	26
sub-D135	Sub130	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	20.9	27
sub-D136	Sub131	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	21.9	26
sub-D137	Sub132	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	19.5	14	6Mbase	21.8	28
sub-D138	Sub133	mus musculus	C57BL/6J	Female	HET	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	20.1	14	6Mbase	23.3	26
sub-D139	Sub134	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	25.6	26
sub-D140	Sub135	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	20.9	14	6Mbase	23.5	26
sub-D141	Sub136	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	21.8	14	6Mbase	23.3	26
sub-D142	Sub137	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	n/a	n/a	6Mbase	24.5	28
sub-D143	Sub138	mus musculus	C57BL/6J	Female	WT	16Mbase	n/a	n/a	10Mbase	n/a	n/a	3Mbase	20.5	14	6Mbase	n/a	n/a
