participant_id	family_id	twin_id	zygosity	sex	age
sub-P161694	98144	MZ9814420	MZ	F	36
sub-P168846	84171	MZ8417111	MZ	M	33
sub-P584913	84171	MZ8417121	MZ	M	33
sub-P492721	14475	DZ1447521	DZ	M	35
sub-P548004	41199	MZ4119911	MZ	M	35
sub-P624980	25567	MZ2556710	MZ	F	36
sub-P435530	42008	MZ4200820	MZ	F	37
sub-P656862	87527	OS8752710	OS	F	37
sub-P241520	70536	MZ7053610	MZ	F	36
sub-P347957	87527	OS8752721	OS	M	37
sub-P818846	41199	MZ4119921	MZ	M	35
sub-P237780	71270	MZ7127010	MZ	F	39
sub-P300990	61699	MZ6169921	MZ	M	36
sub-P318680	71270	MZ7127020	MZ	F	39
sub-P531556	42008	MZ4200810	MZ	F	37
sub-P100670	26135	MZ2613510	MZ	F	38
sub-P127280	53909	MZ5390921	MZ	M	35
sub-P515393	93469	MZ9346920	MZ	F	37
sub-P246268	23141	MZ2314110	MZ	F	35
sub-P711551	75654	OS7565421	OS	M	36
sub-P815684	61699	MZ6169911	MZ	M	36
sub-P620347	28289	OS2828921	OS	M	37
sub-P725288	43205	MZ4320510	MZ	F	37
sub-P451862	43205	MZ4320520	MZ	F	37
sub-P141666	70536	MZ7053620	MZ	F	36
sub-P495479	28289	OS2828910	OS	F	37
sub-P434782	53600	OS5360011	OS	M	35
sub-P637302	49157	DZ4915721	DZ	M	37
sub-P220796	23141	MZ2314120	MZ	F	35
sub-P304941	98712	OS9871220	OS	F	33
sub-P833304	93469	MZ9346910	MZ	F	27
sub-P337892	60588	DZ6058821	DZ	M	39
sub-P469288	47484	OS4748421	OS	M	40
sub-P942374	47484	OS4748410	OS	F	40
sub-P347997	87026	MZ8702621	MZ	M	35
sub-P230760	87026	MZ8702611	MZ	M	35
sub-P731818	31463	OS3146320	OS	F	37
sub-P610359	16986	MZ1698621	MZ	M	36
sub-P650434	21249	MZ2124911	MZ	M	35
sub-P137827	98712	OS9871211	OS	M	33
sub-P475540	55263	MZ5526310	MZ	F	36
sub-P103839	44626	DZ4462611	DZ	M	36
sub-P321881	75654	OS7565410	OS	F	36
sub-P735450	18392	MZ1839210	MZ	F	37
sub-P155386	18392	MZ1839220	MZ	F	37
sub-P365224	31463	OS3146311	OS	M	37
