participant_id	subject number	species	strain	gender	genotype	name ses1	weight ses1	age ses1	name ses2	weight ses2	age ses2	name ses3	weight ses3	age ses3	name ses4	weight ses4	age ses4	name ses5	weight ses5	age ses5
sub-D323	Sub52	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	33.8	36.4286	RT	32.3	36.7143	3Mbase	n/a	n/a
sub-D324	Sub53	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	30.7	36.1429	RT	29.6	36.5714	3Mbase	n/a	n/a
sub-D325	Sub54	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	39.5	36.1429	RT	37.6	36.4286	3Mbase	n/a	n/a
sub-D327	Sub55	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	37	36.1429	RT	35.2	36.4286	3Mbase	n/a	n/a
sub-D328	Sub56	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	39.7	36.2857	RT	38.4	36.5714	3Mbase	n/a	n/a
sub-D329	Sub57	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	34.3	36.4286	RT	34.3	36.8571	3Mbase	n/a	n/a
sub-D333	Sub58	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	34.3	36.4286	RT	33.2	36.7143	3Mbase	n/a	n/a
sub-D297	Sub59	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	24	15.2857
sub-D298	Sub60	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	27.2	16
sub-D299	Sub61	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	26.2	16
sub-D302	Sub62	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	28.2	15.7143
sub-D303	Sub63	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	27.1	13.8571
sub-D304	Sub64	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	27	15.5714
sub-D305	Sub65	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	29.2	15.4286
sub-D306	Sub66	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	29.2	14.4286
sub-D307	Sub67	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	28.2	15.2857
sub-D308	Sub68	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	30	14.4286
sub-D309	Sub69	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	29.3	15.1429
sub-D311	Sub70	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	28.8	15.4286
sub-D312	Sub71	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	29	15.2857
sub-D313	Sub72	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	25.8	14.4286
sub-D314	Sub73	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	31.1	15.8571
sub-D316	Sub74	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	27.5	15.2857
sub-D317	Sub75	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	27.5	15.4286
sub-D319	Sub76	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	26.4	15.5714
sub-D320	Sub77	mus musculus	C57BL/6J	male	HET	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	24.7	14.8571
sub-D275	Sub78	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	25.1	16.2857
sub-D276	Sub79	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	24.8	14.4286
sub-D278	Sub80	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	28.3	15.2857
sub-D279	Sub81	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	26.5	15.4286
sub-D280	Sub82	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	30.6	15.4286
sub-D281	Sub83	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	27.7	15.2857
sub-D282	Sub84	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	28.4	15.4286
sub-D283	Sub85	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	32.7	15.2857
sub-D285	Sub86	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	30.6	15.4286
sub-D286	Sub87	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	26.3	15.2857
sub-D287	Sub88	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	30	15.5714
sub-D288	Sub89	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	31	15.5714
sub-D289	Sub90	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	26.3	15.5714
sub-D290	Sub91	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	30.5	16.1429
sub-D291	Sub92	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	29.5	14.4286
sub-D293	Sub93	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	27.3	16
sub-D294	Sub94	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	28.7	15.5714
sub-D295	Sub95	mus musculus	C57BL/6J	male	WT	9Mbase	n/a	n/a	ME	n/a	n/a	T	n/a	n/a	RT	n/a	n/a	3Mbase	27	15.2857
