"participant_id,timepoint,session,age,Sex,MEd,HLE,FHD,pre_word_access_raw,pre_word_fluency_raw,pre_substitution_raw,pre_wjiv_oralcomp_raw,pre_wjiv_pvocab_raw,pre_wjiv_phonproc_standard,pre_wjiv_orallang_standard,kbit2_raw,kbit2_standard,beg_wrmt3_wrd_id_raw,beg_wrmt3_wrdatt_raw,beg_wrmt3_wrd_id_stnd,beg_wrmt3_wrdatt_stnd,pre_beh_age,beg_beh_age,euler,qc_s,qc_ARC_L,qc_ARC_R,qc_ILF_L,qc_ILF_R,qc_SLF_L,qc_SLF_R,inf_num_books_adult_ord,inf_ebooks_adult_ord,inf_books_kids_ord,inf_ebooks_kids_ord,inf_reading_age_child_ord,inf_child_reading_time_ord,inf_child_count,inf_child_alphabet,inf_fam_readership,inf_fam_write_notes,inf_fam_write_creative,inf_fam_joke,tod_num_books_adult_ord,tod_ebooks_adult_ord,tod_books_kids_ord,tod_ebooks_kids_ord,tod_reading_age_child_ord,tod_child_reading_time_ord,tod_child_count,tod_child_alphabet,tod_fam_readership,tod_fam_write_notes,tod_fam_write_creative,tod_fam_joke,pre_num_books_adult_ord,pre_ebooks_adult_ord,pre_books_kids_ord,pre_ebooks_kids_ord,pre_reading_age_child_ord,pre_child_reading_time_ord,pre_child_count,pre_child_alphabet,pre_fam_readership,pre_fam_write_notes,pre_fam_write_creative,pre_fam_joke,beg_num_books_adult_ord,beg_ebooks_adult_ord,beg_books_kids_ord,beg_ebooks_kids_ord,beg_reading_age_child_ord,beg_child_reading_time_ord,beg_child_count,beg_child_alphabet,beg_fam_readership,beg_fam_write_notes,beg_fam_write_creative,beg_fam_joke,rea_num_books_adult_ord,rea_ebooks_adult_ord,rea_books_kids_ord,rea_ebooks_kids_ord,rea_reading_age_child_ord,rea_child_reading_time_ord,rea_child_count,rea_child_alphabet,rea_fam_readership,rea_fam_write_notes,rea_fam_write_creative,rea_fam_joke"
"sub-07,INF,1,6.570302234,0,17,-0.255694529,0,10,8,1,15,31,98,128,12,83,11,15,97,123,69.54664915,80.65045992,-23,1.666666667,2,2,2,2,2,2,6,1,6,1,1,1,1,1,5,5,2,2,6,3,6,1,1,3,1,1,5,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-07,TOD,2,19.77660972,0,17,-0.255694529,0,10,8,1,15,31,98,128,12,83,11,15,97,123,69.54664915,80.65045992,-19,1.5,2,2,2,2,2,2,6,1,6,1,1,1,1,1,5,5,2,2,6,3,6,1,1,3,1,1,5,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-07,PRE,3,70.56504599,0,17,-0.255694529,0,10,8,1,15,31,98,128,12,83,11,15,97,123,69.54664915,80.65045992,-148,2,2,2,2,2,1.5,2,6,1,6,1,1,1,1,1,5,5,2,2,6,3,6,1,1,3,1,1,5,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-08,INF,1,7.950065703,0,17,0.11450608,0,11,11,0,15,27,114,129,25,129,29,16,145,134,60.282523,74.37582129,NA,NA,NA,NA,NA,NA,NA,NA,6,1,2,1,1,4,5,5,3,2,2,5,4,4,4,4,1,4,4,NA,3,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-08,PRE,3,61.10381078,0,17,0.11450608,0,11,11,0,15,27,114,129,25,129,29,16,145,134,60.282523,74.37582129,-120,2,2,2,2,2,2,2,6,1,2,1,1,4,5,5,3,2,2,5,4,4,4,4,1,4,4,NA,3,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-08,BEG,4,77.89093298,0,17,0.11450608,0,11,11,0,15,27,114,129,25,129,29,16,145,134,60.282523,74.37582129,-57,2,NA,NA,NA,NA,NA,NA,6,1,2,1,1,4,5,5,3,2,2,5,4,4,4,4,1,4,4,NA,3,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-09,INF,1,10.74244415,1,14,0.175852533,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26,1.333333333,2,2,2,2,2,2,6,2,5,1,2,4,3,2,4,5,2,5,4,2,4,1,2,5,4,4,4,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-09,TOD,2,19.7109067,1,14,0.175852533,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16,2,1,2,2,2,2,2,6,2,5,1,2,4,3,2,4,5,2,5,4,2,4,1,2,5,4,4,4,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-10,INF,1,10.74244415,1,14,0.29160368,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22,2,2,1,2,2,2,2,6,2,5,1,2,4,3,3,4,5,2,5,5,2,5,1,2,4,5,5,3,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-10,TOD,2,22.66754271,1,14,0.29160368,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21,2,1.5,2,2,2,2,2,6,2,5,1,2,4,3,3,4,5,2,5,5,2,5,1,2,4,5,5,3,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-11,INF,1,10.21681997,0,20,-0.09996899,1,4,0,1,4,20,92,90,18,115,13,5,117,115,57.62155059,73.19316689,-23,2,2,2,2,2,2,2,6,5,6,1,1,5,2,4,2,3,2,2,6,3,6,1,1,5,3,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-11,TOD,2,16.09724047,0,20,-0.09996899,1,4,0,1,4,20,92,90,18,115,13,5,117,115,57.62155059,73.19316689,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,1,1,5,2,4,2,3,2,2,6,3,6,1,1,5,3,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-11,PRE,3,64.55458826,0,20,-0.09996899,1,4,0,1,4,20,92,90,18,115,13,5,117,115,57.62155059,73.19316689,-157,2,2,2,2,2,2,2,6,5,6,1,1,5,2,4,2,3,2,2,6,3,6,1,1,5,3,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-11,BEG,4,75.46128997,0,20,-0.09996899,1,4,0,1,4,20,92,90,18,115,13,5,117,115,57.62155059,73.19316689,-46,2,2,2,2,2,2,2,6,5,6,1,1,5,2,4,2,3,2,2,6,3,6,1,1,5,3,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-12,INF,1,10.11826544,0,19,0.051080512,0,3,4,5,11,24,102,113,27,134,15,14,109,124,62.41787122,78.5151117,-31,1.666666667,2,1,2,2,2,2,3,2,4,1,2,5,2,2,5,5,2,5,2,1,4,2,2,5,3,3,5,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-12,TOD,2,18.26544021,0,19,0.051080512,0,3,4,5,11,24,102,113,27,134,15,14,109,124,62.41787122,78.5151117,-16,2,2,2,2,2,2,2,3,2,4,1,2,5,2,2,5,5,2,5,2,1,4,2,2,5,3,3,5,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-12,PRE,3,68.39684625,0,19,0.051080512,0,3,4,5,11,24,102,113,27,134,15,14,109,124,62.41787122,78.5151117,-49,2,2,2,2,2,2,2,3,2,4,1,2,5,2,2,5,5,2,5,2,1,4,2,2,5,3,3,5,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-12,BEG,4,79.76346912,0,19,0.051080512,0,3,4,5,11,24,102,113,27,134,15,14,109,124,62.41787122,78.5151117,-49,2,NA,NA,NA,NA,NA,NA,3,2,4,1,2,5,2,2,5,5,2,5,2,1,4,2,2,5,3,3,5,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-13,INF,1,8.409986859,0,20,-0.122365986,1,3,0,0,10,25,83,112,22,120,14,6,115,113,62.18654183,75.32851511,-22,1.666666667,1.5,1,2,2,2,2,6,2,2,1,3,1,1,1,5,5,5,1,6,2,2,1,4,6,1,1,6,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-13,TOD,2,20.72930355,0,20,-0.122365986,1,3,0,0,10,25,83,112,22,120,14,6,115,113,62.18654183,75.32851511,-21,2,NA,NA,NA,NA,NA,NA,6,2,2,1,3,1,1,1,5,5,5,1,6,2,2,1,4,6,1,1,6,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-13,PRE,3,63.30349321,0,20,-0.122365986,1,3,0,0,10,25,83,112,22,120,14,6,115,113,62.18654183,75.32851511,-156,1,2,2,2,2,2,2,6,2,2,1,3,1,1,1,5,5,5,1,6,2,2,1,4,6,1,1,6,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-13,BEG,4,75.78706746,0,20,-0.122365986,1,3,0,0,10,25,83,112,22,120,14,6,115,113,62.18654183,75.32851511,-45,2,2,2,2,2,2,2,6,2,2,1,3,1,1,1,5,5,5,1,6,2,2,1,4,6,1,1,6,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-14,INF,1,8.344283837,1,16,0.546238223,1,8,5,5,15,27,102,120,14,89,27,17,130,127,68.36399474,80.2890933,-19,2,NA,NA,NA,NA,NA,NA,6,6,4,1,1,6,1,1,4,6,2,6,6,5,5,1,1,6,5,5,5,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-14,TOD,2,20.76215506,1,16,0.546238223,1,8,5,5,15,27,102,120,14,89,27,17,130,127,68.36399474,80.2890933,-15,2,2,2,2,2,2,2,6,6,4,1,1,6,1,1,4,6,2,6,6,5,5,1,1,6,5,5,5,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
"sub-14,PRE,3,69.02102497,1,16,0.546238223,1,8,5,5,15,27,102,120,14,89,27,17,130,127,68.36399474,80.2890933,-86,2,1.5,2,2,2,2,2,6,6,4,1,1,6,1,1,4,6,2,6,6,5,5,1,1,6,5,5,5,5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA"
